ID	HeadCS
EC-d14-01 	16.7057155175989
EC-d14-02 	17.6533339884392
EC-d14-03 	14.9928925967679
EC-d14-04 	15.769213012402
EC-d14-05 	18.7711596325524
EC-d14-06 	15.6740241692478
EC-d14-07 	15.9431284165613
EC-d14-08 	14.9767047010719
EC-d14-09 	15.4734181114534
EC-d14-10 	14.7706980601361
EC-d14-11 	19.0667957113636
EC-d14-12 	17.8264633898753
EC-d14-13 	15.4877536017925
EC-d14-14 	16.6811635430718
EC-d14-15 	15.6251450021793
EC-d14-16 	15.248109502214
EC-d14-17 	18.3763022842237
EC-d14-18 	17.163817212465
EC-d14-19 	18.0318104990622
EC-d14-20 	18.2665233883432
EC-d14-21 	15.3405486016031
EC-d14-22 	15.8135493032963
EC-d14-23 	16.7430859802454
EC-d14-24 	15.990520018109
KT-d14-01 	11.9603068629758
KT-d14-02 	15.3358442867111
KT-d14-03 	15.6674824346735
KT-d14-04 	10.4945891230171
KT-d14-05 	11.4971544653311
KT-d14-06 	14.0357851524402
KT-d14-07 	11.0859134183214
KT-d14-08 	10.3855788645485
KT-d14-09 	12.2430782677575
KT-d14-10 	15.0831431756046
KT-d14-11 	14.0852050726713
KT-d14-12 	14.3199500660867
KT-d14-13 	11.4366000346915
KT-d14-14 	13.4662588549888
KT-d14-15 	14.5791624658835
KT-d14-16 	13.9972262227878
KT-d14-17 	12.9571803218663
KT-d14-18 	12.3621845821614
KT-d14-19 	11.0407613149977
KT-d14-20 	12.6518836078144
KT-d14-21 	14.0066286959194
KT-d14-22 	12.159840039567
EC-d5-01 	13.5450499065084
EC-d5-02 	13.970203339609
EC-d5-03 	11.8423366806458
EC-d5-04 	12.9622367328365
EC-d5-05 	14.7313969759307
EC-d5-06 	11.3947022434796
EC-d5-07 	13.029697279395
EC-d5-08 	11.6666416292054
EC-d5-09 	12.0265104357474
EC-d5-10 	11.8250512004632
EC-d5-11 	15.0170618408988
EC-d5-12 	12.616501752591
EC-d5-13 	11.9688074698034
EC-d5-14 	12.836070840905
EC-d5-15 	12.5919861433378
EC-d5-16 	11.9203557148608
EC-d5-17 	13.8745374719855
EC-d5-18 	12.5318817320246
EC-d5-19 	13.5719422979126
EC-d5-20 	13.8792738804714
EC-d5-21 	12.1807834352748
EC-d5-22 	12.4816267258439
EC-d5-23 	12.4844177004648
EC-d5-24 	11.952868920006
NC-d14-01 	11.781684628539
NC-d14-02 	12.5128444136512
NC-d14-03 	11.5753784130324
NC-d14-04 	12.9487214028446
NC-d14-05 	14.0065976838051
NC-d14-06 	12.8742809596262
NC-d14-07 	14.0347068718935
NC-d14-08 	11.6455511433441
NC-d14-09 	12.3770683533154
NC-d14-10 	12.4763230911364
NC-d14-11 	12.7685936904427
NC-d14-12 	13.0139950377421
NC-d14-13 	13.2699207015328
NC-d14-14 	13.4647019024447
NC-d14-15 	12.2268187977661
NC-d14-16 	11.4200143672658
NC-d14-17 	11.5086388952574
NC-d14-18 	13.3374063973327
NC-d14-19 	12.049865486193
NC-d14-20 	11.3837698675604
NC-d14-21 	14.1677473003558
NC-d14-22 	12.448826775566
NC-d14-23 	12.0556666844515
NC-d14-24 	10.6875689384857
ET-d14-01 	18.5625566134439
ET-d14-02 	21.0253075891803
ET-d14-03 	17.3118183872023
ET-d14-04 	21.8706470546018
ET-d14-05 	15.2736710180945
ET-d14-06 	19.658285608913
ET-d14-07 	17.4822824501005
ET-d14-08 	19.1507451911879
ET-d14-09 	21.649597094243
ET-d14-11 	14.1008117281796
ET-d14-12 	16.7182251770708
ET-d14-13 	20.657130349737
ET-d14-14 	19.4277480515977
ET-d14-15 	16.6342107086696
ET-d14-16 	19.395843592371
ET-d14-17 	22.2965894540821
ET-d14-18 	19.5275513302479
ET-d14-19 	18.7353195134954
ET-d14-20 	20.5104394166021
ET-d14-21 	22.8093673386059
NC-d5-01 	9.91786601386566
NC-d5-02 	10.4943430312
NC-d5-03 	9.26066675294916
NC-d5-04 	10.6593150820577
NC-d5-05 	11.5035507640762
NC-d5-06 	11.4494706703161
NC-d5-07 	11.9528500770039
NC-d5-08 	9.50140866114572
NC-d5-09 	10.6052865157199
NC-d5-10 	10.9600046413146
NC-d5-11 	11.5846373040637
NC-d5-12 	11.5414209789171
NC-d5-13 	11.0462707882701
NC-d5-14 	11.4424153557234
NC-d5-15 	10.1048941255185
NC-d5-16 	9.93993410856335
NC-d5-17 	9.71280859180333
NC-d5-18 	10.8440921930778
NC-d5-19 	10.4911591754021
NC-d5-20 	9.88344195527269
NC-d5-21 	11.5008939337195
NC-d5-22 	10.8030834630346
NC-d5-23 	10.2647348038682
NC-d5-24 	9.43628290643593
HC-d14-01 	14.2836859059266
HC-d14-02 	15.5966020275919
HC-d14-03 	15.2303723040782
HC-d14-04 	14.632811125444
HC-d14-05 	14.2265692289404
HC-d14-06 	15.0704862550809
HC-d14-07 	14.5670815091911
HC-d14-08 	14.6391090201328
HC-d14-09 	13.9430441317227
HC-d14-10 	15.369102606542
HC-d14-11 	14.9597111621933
HC-d14-12 	15.5635699222308
HC-d14-13 	14.7002249440839
HC-d14-14 	13.7388832784607
HC-d14-15 	15.6843259326124
HC-d14-16 	15.1744947591208
HC-d14-17 	15.7473965918047
HC-d14-18 	15.6681399946542
HC-d14-19 	13.8137074171063
HC-d14-20 	14.3615484703726
NT-d14-01 	13.8691124411536
NT-d14-02 	12.9348240969108
NT-d14-03 	12.6962322645709
NT-d14-04 	13.890145812436
NT-d14-05 	12.3091587550274
NT-d14-06 	13.4764582530766
NT-d14-07 	11.9150857533544
